genre,danceability,energy,valence,tempo,acousticness,loudness,popularity
 pop folk,0.593,0.349,0.45366666666666666,133.34033333333335,0.8210000000000001,-13.461333333333334,70.33333333333333
 pop punk,0.4783698630136986,0.8757397260273972,0.5291602739726028,140.16764383561642,0.027086265753424658,-4.39072602739726,69.5068493150685
 pop r&b,0.7433333333333333,0.5246666666666667,0.2773333333333334,105.03633333333335,0.21033333333333334,-9.376,77.33333333333333
 pop rap,0.7004375,0.6598990384615384,0.5305187499999999,116.93873076923077,0.1689836971153846,-6.269759615384615,71.6875
 pop reggaeton,0.774,0.86,0.446,100.019,0.131,-2.888,88.0
 pop rock,0.5407054263565891,0.7346279069767442,0.5534658914728682,121.24965891472868,0.10332671937984496,-6.504,67.89147286821705
 pop romantico,0.5453333333333333,0.4426666666666667,0.4366666666666667,108.77833333333335,0.441,-8.713666666666667,58.333333333333336
 pop soul,0.5127272727272727,0.4571818181818182,0.28792727272727275,107.39545454545454,0.46800727272727277,-6.841727272727272,76.18181818181819
 popping,0.778,0.7689999999999999,0.81175,104.13825,0.24027500000000002,-10.057,55.5
 portland indie,0.67,0.403,0.622,129.984,0.753,-10.623,68.0
 post-disco,0.7127692307692308,0.5867307692307692,0.7635769230769232,115.17415384615386,0.2787142307692308,-10.393346153846153,57.19230769230769
 post-grunge,0.5028086642599278,0.8296245487364622,0.4984281588447654,127.65503971119132,0.030038446931407944,-5.511379061371842,67.64981949458483
 post-hardcore,0.48740000000000006,0.6952,0.4518,100.8682,0.186556,-6.834999999999999,64.6
 post-punk,0.594625,0.76365625,0.69596875,124.21834375,0.0880442125,-8.55303125,61.15625
 post-punk argentina,0.64,0.757,0.646,123.559,0.023934999999999998,-5.7055,63.5
 post-romantic era,0.381,0.00803,0.143,80.466,0.9940000000000001,-32.13,58.333333333333336
 post-teen pop,0.6601666666666667,0.7467,0.55542,117.3233,0.10279333333333333,-4.744633333333334,76.2
 pov: indie,0.5480782608695652,0.614484347826087,0.45255391304347825,122.95998260869564,0.3070380034782609,-7.629286956521739,74.8
 power pop,0.6147241379310344,0.7443793103448276,0.7482758620689655,122.00279310344828,0.1458836551724138,-8.380344827586207,61.13793103448276
 progressive bluegrass,0.582,0.371,0.163,128.756,0.912,-9.585,67.0
 progressive electro house,0.6397999999999999,0.7512000000000001,0.4948,115.8084,0.125132,-3.2019999999999995,78.4
 progressive house,0.5871999999999999,0.8778,0.602,127.9758,0.0921544,-3.7082,79.6
 progressive metal,0.384,0.6657777777777778,0.26274444444444445,148.42622222222224,0.11499500000000001,-7.278555555555556,63.111111111111114
 progressive rock,0.4721392405063291,0.5638012658227848,0.44045443037974685,125.39458227848102,0.2422562911392405,-11.385772151898735,62.0253164556962
 proto-metal,0.47181249999999997,0.7321875,0.551375,112.5530625,0.1965625,-8.3544375,60.5
 protopunk,0.5192962962962964,0.5801555555555555,0.5181481481481481,118.3108148148148,0.25243274074074074,-10.354851851851853,60.074074074074076
 psychedelic folk,0.4405,0.45975,0.59325,121.733,0.3011975,-12.74525,53.75
 psychedelic hip hop,0.48866666666666664,0.7863333333333333,0.7466666666666667,87.81400000000001,0.3176666666666667,-8.606333333333334,68.0
 psychedelic pop,0.689,0.454,0.912,159.982,0.0351,-7.643,89.0
 psychedelic punk,0.631,0.804,0.671,79.898,0.00589,-5.492,61.0
 psychedelic rock,0.511925925925926,0.5244582010582011,0.5750232804232804,120.08116931216931,0.34652403703703705,-10.722015873015874,60.46560846560847
 psychedelic soul,0.7684,0.6466000000000001,0.812,117.63579999999999,0.37776,-8.5554,57.4
 psychobilly,0.509,0.739,0.5103333333333333,125.24533333333333,0.10958866666666665,-10.875666666666667,61.333333333333336
 pub rock,0.562,0.383,0.599,93.764,0.143,-15.474,68.0
 puerto rican pop,0.66175,0.8205,0.834875,121.608375,0.20183,-6.1915,74.25
 punk,0.47913157894736846,0.831078947368421,0.6278552631578947,132.70522368421052,0.08295075657894738,-6.560789473684211,66.8157894736842
 punk 'n' roll,0.328,0.884,0.686,201.868,0.0676,-7.982,56.0
